;date;header;summary;link;protocol;domain;path;query;fragment;host_name;ip_address;Type;AdditionalData;CountryCode;CountryName;State;City;Longitude;Latitude;IpAddress;header_context_true;summary_context_true
0;2020-05-06;Pandemic programming: International study reveals impacts of ...;May 7, 2020 — “People have been remote working for years and there are decades of ... in impromptu home offices during an unprecedented global disaster.;https://www.dal.ca/news/2020/05/07/pandemic-programming--international-study-reveals-impacts-of-cov.html;https;www.dal.ca;/news/2020/05/07/pandemic-programming--international-study-reveals-impacts-of-cov.html;;;dal;129.173.31.169;geolocation;{};CA;Canada;Nova Scotia;Halifax;-63.59632873535156;44.63716125488281;129.173.31.169;Pandemic programming: International study reveals impacts of ...;May 7, 2020 — “People have been remote working for years and there are decades of ... in impromptu home offices during an unprecedented global disaster.
1;2020-05-06;Complaint - Mackinac Center;"May 7, 2020 — Whitmer's declarations of a state of emergency and a state of disaster. 70. ... many of whom continue to work from home.The closure of ... security and resilience of the Nation's critical infrastructure. ... software engineers, manufacturing/production workers; IT support; security staff; security personnel;.";https://www.mackinac.org/archives/2020/Grand_Health_vs_Whitmer_Complaint_and_Exhibits.pdf;https;www.mackinac.org;/archives/2020/Grand_Health_vs_Whitmer_Complaint_and_Exhibits.pdf;;;mackinac;146.20.201.92;geolocation;{};US;United States;Virginia;Ashburn;-77.47419738769531;39.043701171875;146.20.201.92;Complaint - Mackinac Center;"May 7, 2020 — Whitmer's declarations of a state of emergency and a state of disaster. 70. ... many of whom continue to work from home.The closure of ... security and resilience of the Nation's critical infrastructure. ... software engineers, manufacturing/production workers; IT support; security staff; security personnel;."
2;2020-05-06;Seventh Supplementary Proclamation for Covid 19 - Office of ...;"May 7, 2020 — Hawai'i, to provide relief for disaster damages, losses, and suffering, and to ... supply products needed for people to work from home;. 15. ... Workforce: Ensuring Community and National Resilience ... Workers required in person to support Software as a Service businesses that enable remote working,.";https://oip.hawaii.gov/wp-content/uploads/2020/05/2005024-ATG_Seventh-Supplementary-Proclamation-for-COVID-19-distribution-signed-1.pdf;https;oip.hawaii.gov;/wp-content/uploads/2020/05/2005024-ATG_Seventh-Supplementary-Proclamation-for-COVID-19-distribution-signed-1.pdf;;;hawaii;104.18.65.2;geolocation;{};US;United States;California;San Jose;-121.83822631835938;37.330528259277344;104.18.65.2;Seventh Supplementary Proclamation for Covid 19 - Office of ...;"May 7, 2020 — Hawai'i, to provide relief for disaster damages, losses, and suffering, and to ... supply products needed for people to work from home;. 15. ... Workforce: Ensuring Community and National Resilience ... Workers required in person to support Software as a Service businesses that enable remote working,."
3;2020-05-06;10 Tips to Help Ensure Remote Access Security | SolarWinds ...;May 6, 2020 — ... type of technology that is utilized when employees “work from home.” ... Take Control was developed with a software development life cycle, ...;https://www.solarwindsmsp.com/blog/10-tips-to-ensure-remote-access-security;https;www.solarwindsmsp.com;/blog/10-tips-to-ensure-remote-access-security;;;solarwindsmsp;172.67.72.251;geolocation;{};US;United States;California;San Francisco;-122.39286041259766;37.76784896850586;172.67.72.251;10 Tips to Help Ensure Remote Access Security | SolarWinds ...;May 6, 2020 — ... type of technology that is utilized when employees “work from home.” ... Take Control was developed with a software development life cycle, ...
4;2020-05-06;FDM Group hires nearly 200 during Covid-19 lockdown ...;May 6, 2020 — ... of employees to a remote working environment with full IT operations ... in in equipping candidates with digital skills in software development, ...;https://www.recruiter.co.uk/news/2020/05/fdm-group-hires-nearly-200-during-covid-19-lockdown;https;www.recruiter.co.uk;/news/2020/05/fdm-group-hires-nearly-200-during-covid-19-lockdown;;;co;172.67.142.5;geolocation;{};US;United States;California;San Francisco;-122.39286041259766;37.76784896850586;172.67.142.5;FDM Group hires nearly 200 during Covid-19 lockdown ...;May 6, 2020 — ... of employees to a remote working environment with full IT operations ... in in equipping candidates with digital skills in software development, ...
5;2020-05-06;The Emirates Group Annual Report | 2019-2020 - via;May 7, 2020 — economic and social resilience, and ensuring ... We put in place support structures for those impacted, and implemented work from home ... In the case of internally developed computer software, development expenditure is.;https://cdn.ek.aero/downloads/ek/pdfs/report/annual_report_2020.pdf;https;cdn.ek.aero;/downloads/ek/pdfs/report/annual_report_2020.pdf;;;ek;23.66.64.224;geolocation;{};US;United States;California;San Jose;-121.83822631835938;37.330528259277344;23.66.64.224;The Emirates Group Annual Report | 2019-2020 - via;May 7, 2020 — economic and social resilience, and ensuring ... We put in place support structures for those impacted, and implemented work from home ... In the case of internally developed computer software, development expenditure is.
6;2020-05-06;Payvision appoints Andre Valkenburg CEO - Finextra Research;May 6, 2020 — As an entrepreneur himself, Andre also started a mobile software development company. “I am proud to be entrusted with leading Payvision ...;https://www.finextra.com/pressarticle/82415/payvision-appoints-andre-valkenburg-ceo;https;www.finextra.com;/pressarticle/82415/payvision-appoints-andre-valkenburg-ceo;;;finextra;89.234.26.98;geolocation;{};GB;United Kingdom;England;City of Westminster;-0.19916999340057373;51.49555969238281;89.234.26.98;Payvision appoints Andre Valkenburg CEO - Finextra Research;May 6, 2020 — As an entrepreneur himself, Andre also started a mobile software development company. “I am proud to be entrusted with leading Payvision ...
7;2020-05-06;Businesses should plan beyond COVID-19 | ITWeb;May 6, 2020 — We're seeing an upsurge in businesses starting to test their disaster ... The majority of people who are expected to work from home only have ...;https://www.itweb.co.za/content/nWJadMbeX8n7bjO1;https;www.itweb.co.za;/content/nWJadMbeX8n7bjO1;;;co;35.190.40.240;geolocation;{};US;United States;Kansas;Prairie Village;-94.53961181640625;39.10771179199219;35.190.40.240;Businesses should plan beyond COVID-19 | ITWeb;May 6, 2020 — We're seeing an upsurge in businesses starting to test their disaster ... The majority of people who are expected to work from home only have ...
8;2020-05-06;Careers | UGT - United Global Technologies;Estimate the effort required for software development activities. Create documents ... Participate in Disaster recovery. Configure and ... Applicant must have ability to work from home and still produce 40 productive hours / week. social media: 4 ...;https://www.ugtechnologies.com/careers/;https;www.ugtechnologies.com;/careers/;;;ugtechnologies;74.208.236.188;geolocation;{};US;United States;Pennsylvania;Radnor;-75.40348052978516;40.0572395324707;74.208.236.188;Careers | UGT - United Global Technologies;Estimate the effort required for software development activities. Create documents ... Participate in Disaster recovery. Configure and ... Applicant must have ability to work from home and still produce 40 productive hours / week. social media: 4 ...
9;2020-05-06;Mentor - Software for Children's Services | LinkedIn;While most disaster recovery strategies detail recovery for servers and data, organisations should also ... Mentor Innovative Software Development Solutions.;https://www.linkedin.com/company/mentor-software-for-residential-children-s-homes;https;www.linkedin.com;/company/mentor-software-for-residential-children-s-homes;;;linkedin;13.107.42.14;geolocation;{};US;United States;Washington;Cottage Lake;-122.12094116210938;47.68050003051758;13.107.42.14;Mentor - Software for Children's Services | LinkedIn;While most disaster recovery strategies detail recovery for servers and data, organisations should also ... Mentor Innovative Software Development Solutions.
